Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
15.01.2022 09:00 - 15.01.2022 10:00;510;846;8149;5067
15.01.2022 10:00 - 15.01.2022 11:00;578;840;8250;5206
15.01.2022 11:00 - 15.01.2022 12:00;742;842;8328;5240
15.01.2022 12:00 - 15.01.2022 13:00;826;843;8126;5262
15.01.2022 13:00 - 15.01.2022 14:00;738;840;7958;5296
15.01.2022 14:00 - 15.01.2022 15:00;741;837;7862;5255
15.01.2022 15:00 - 15.01.2022 16:00;966;827;8034;5211
15.01.2022 16:00 - 15.01.2022 17:00;819;824;8173;5362
15.01.2022 17:00 - 15.01.2022 18:00;724;824;8115;5510
15.01.2022 18:00 - 15.01.2022 19:00;729;821;8090;5525
15.01.2022 19:00 - 15.01.2022 20:00;464;824;7446;5371
15.01.2022 20:00 - 15.01.2022 21:00;482;823;7173;5175
15.01.2022 21:00 - 15.01.2022 22:00;156;826;6895;5044
15.01.2022 22:00 - 15.01.2022 23:00;-274;820;5756;4920
15.01.2022 23:00 - 16.01.2022 00:00;-250;822;5330;4843
16.01.2022 00:00 - 16.01.2022 01:00;-297;814;5098;4748
16.01.2022 01:00 - 16.01.2022 02:00;-437;811;4387;4644
16.01.2022 02:00 - 16.01.2022 03:00;-555;808;4157;4594
16.01.2022 03:00 - 16.01.2022 04:00;-473;805;3948;4537
16.01.2022 04:00 - 16.01.2022 05:00;-436;803;3899;4532
16.01.2022 05:00 - 16.01.2022 06:00;-651;800;3847;4564
16.01.2022 06:00 - 16.01.2022 07:00;-308;798;3327;4633
16.01.2022 07:00 - 16.01.2022 08:00;-79;800;3254;4725
16.01.2022 08:00 - 16.01.2022 09:00;-238;805;3441;4867
16.01.2022 09:00 - 16.01.2022 10:00;-17;802;3655;5014
16.01.2022 10:00 - 16.01.2022 11:00;368;801;3728;5179
16.01.2022 11:00 - 16.01.2022 12:00;404;806;3568;5240
16.01.2022 12:00 - 16.01.2022 13:00;359;807;3569;5192
16.01.2022 13:00 - 16.01.2022 14:00;481;809;3575;5022
16.01.2022 14:00 - 16.01.2022 15:00;756;808;3482;5000
16.01.2022 15:00 - 16.01.2022 16:00;699;806;3504;5166
16.01.2022 16:00 - 16.01.2022 17:00;623;800;3342;5299
16.01.2022 17:00 - 16.01.2022 18:00;660;802;3917;5218
