Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
17.01.2022 10:00 - 17.01.2022 11:00;1480;751;5066;5820
17.01.2022 11:00 - 17.01.2022 12:00;1259;740;5172;5691
17.01.2022 12:00 - 17.01.2022 13:00;1206;735;5236;5608
17.01.2022 13:00 - 17.01.2022 14:00;1268;750;5272;5502
17.01.2022 14:00 - 17.01.2022 15:00;1417;754;5509;5495
17.01.2022 15:00 - 17.01.2022 16:00;1361;757;5814;5619
17.01.2022 16:00 - 17.01.2022 17:00;2065;759;7077;5812
17.01.2022 17:00 - 17.01.2022 18:00;2268;754;7368;5805
17.01.2022 18:00 - 17.01.2022 19:00;2195;752;7481;5783
17.01.2022 19:00 - 17.01.2022 20:00;1618;752;7005;5746
17.01.2022 20:00 - 17.01.2022 21:00;1235;747;6511;5669
17.01.2022 21:00 - 17.01.2022 22:00;1247;743;6246;5544
17.01.2022 22:00 - 17.01.2022 23:00;896;740;5888;5379
17.01.2022 23:00 - 18.01.2022 00:00;611;731;5270;5169
18.01.2022 00:00 - 18.01.2022 01:00;326;729;5144;4935
18.01.2022 01:00 - 18.01.2022 02:00;403;733;4998;4855
18.01.2022 02:00 - 18.01.2022 03:00;355;734;4968;4789
18.01.2022 03:00 - 18.01.2022 04:00;318;736;4873;4791
18.01.2022 04:00 - 18.01.2022 05:00;193;734;5105;4822
18.01.2022 05:00 - 18.01.2022 06:00;632;749;6444;5016
18.01.2022 06:00 - 18.01.2022 07:00;1244;761;7656;5473
18.01.2022 07:00 - 18.01.2022 08:00;1159;769;8127;5833
18.01.2022 08:00 - 18.01.2022 09:00;1334;758;8289;6091
18.01.2022 09:00 - 18.01.2022 10:00;1295;763;8237;6046
18.01.2022 10:00 - 18.01.2022 11:00;1427;767;8257;6025
18.01.2022 11:00 - 18.01.2022 12:00;1597;755;8218;6066
18.01.2022 12:00 - 18.01.2022 13:00;1792;757;8228;6024
18.01.2022 13:00 - 18.01.2022 14:00;1610;752;7873;5999
18.01.2022 14:00 - 18.01.2022 15:00;1164;749;7347;5932
18.01.2022 15:00 - 18.01.2022 16:00;1248;747;7434;6021
18.01.2022 16:00 - 18.01.2022 17:00;1419;751;7666;6105
18.01.2022 17:00 - 18.01.2022 18:00;1635;750;7798;6024
18.01.2022 18:00 - 18.01.2022 19:00;1718;746;7673;5905
18.01.2022 19:00 - 18.01.2022 20:00;1537;746;7183;5795
18.01.2022 20:00 - 18.01.2022 21:00;1043;746;6102;5635
18.01.2022 21:00 - 18.01.2022 22:00;634;745;5251;5488
18.01.2022 22:00 - 18.01.2022 23:00;410;743;4600;5215
18.01.2022 23:00 - 19.01.2022 00:00;456;743;4307;4926
19.01.2022 00:00 - 19.01.2022 01:00;441;743;4436;4681
19.01.2022 01:00 - 19.01.2022 02:00;479;734;4102;4534
19.01.2022 02:00 - 19.01.2022 03:00;423;721;4070;4452
19.01.2022 03:00 - 19.01.2022 04:00;506;727;3995;4400
19.01.2022 04:00 - 19.01.2022 05:00;551;728;4012;4340
19.01.2022 05:00 - 19.01.2022 06:00;723;736;4290;4456
19.01.2022 06:00 - 19.01.2022 07:00;1025;746;4747;4944
19.01.2022 07:00 - 19.01.2022 08:00;1564;756;5479;5457
19.01.2022 08:00 - 19.01.2022 09:00;2009;762;5418;5646
19.01.2022 09:00 - 19.01.2022 10:00;2169;766;5422;5568
19.01.2022 10:00 - 19.01.2022 11:00;2203;768;5382;5489
19.01.2022 11:00 - 19.01.2022 12:00;2151;784;5165;5395
19.01.2022 12:00 - 19.01.2022 13:00;1987;792;5032;5351
19.01.2022 13:00 - 19.01.2022 14:00;2069;795;5004;5331
19.01.2022 14:00 - 19.01.2022 15:00;1595;800;5069;5305
19.01.2022 15:00 - 19.01.2022 16:00;1537;808;5022;5374
19.01.2022 16:00 - 19.01.2022 17:00;1481;809;4990;5492
19.01.2022 17:00 - 19.01.2022 18:00;1492;816;5041;5565
19.01.2022 18:00 - 19.01.2022 19:00;1578;816;5049;5561
19.01.2022 19:00 - 19.01.2022 20:00;1528;808;4598;5487
19.01.2022 20:00 - 19.01.2022 21:00;1667;800;4295;5481
19.01.2022 21:00 - 19.01.2022 22:00;1422;788;4338;5395
19.01.2022 22:00 - 19.01.2022 23:00;1037;764;3610;5252
19.01.2022 23:00 - 20.01.2022 00:00;944;765;3308;5118
20.01.2022 00:00 - 20.01.2022 01:00;1034;754;3326;4917
20.01.2022 01:00 - 20.01.2022 02:00;965;759;2970;4752
20.01.2022 02:00 - 20.01.2022 03:00;826;756;2475;4704
20.01.2022 03:00 - 20.01.2022 04:00;974;749;2261;4664
20.01.2022 04:00 - 20.01.2022 05:00;975;746;2329;4706
20.01.2022 05:00 - 20.01.2022 06:00;1288;743;3045;4852
20.01.2022 06:00 - 20.01.2022 07:00;1730;756;4099;5301
20.01.2022 07:00 - 20.01.2022 08:00;1588;749;4716;5927
20.01.2022 08:00 - 20.01.2022 09:00;1334;746;5078;6207
20.01.2022 09:00 - 20.01.2022 10:00;1439;741;5252;6183
20.01.2022 10:00 - 20.01.2022 11:00;1543;743;5094;6116
20.01.2022 11:00 - 20.01.2022 12:00;1483;747;4896;6001
20.01.2022 12:00 - 20.01.2022 13:00;1630;743;4520;5869
20.01.2022 13:00 - 20.01.2022 14:00;1807;744;4594;5773
20.01.2022 14:00 - 20.01.2022 15:00;1702;746;4716;5778
20.01.2022 15:00 - 20.01.2022 16:00;1590;768;5205;5862
20.01.2022 16:00 - 20.01.2022 17:00;1655;755;5764;6035
20.01.2022 17:00 - 20.01.2022 18:00;1657;758;6045;6063
20.01.2022 18:00 - 20.01.2022 19:00;1593;749;5854;5983
20.01.2022 19:00 - 20.01.2022 20:00;1530;746;5777;5906
20.01.2022 20:00 - 20.01.2022 21:00;1490;736;5701;5817
20.01.2022 21:00 - 20.01.2022 22:00;1300;740;5594;5669
20.01.2022 22:00 - 20.01.2022 23:00;1189;732;5028;5443
20.01.2022 23:00 - 21.01.2022 00:00;1110;730;4711;5260
21.01.2022 00:00 - 21.01.2022 01:00;1296;727;4429;5059
21.01.2022 01:00 - 21.01.2022 02:00;1325;720;4315;4930
21.01.2022 02:00 - 21.01.2022 03:00;1225;717;4145;4895
21.01.2022 03:00 - 21.01.2022 04:00;1308;712;4217;4926
21.01.2022 04:00 - 21.01.2022 05:00;1247;722;4123;4925
21.01.2022 05:00 - 21.01.2022 06:00;1043;725;4615;5068
21.01.2022 06:00 - 21.01.2022 07:00;1342;732;5442;5602
21.01.2022 07:00 - 21.01.2022 08:00;2430;730;7364;6087
21.01.2022 08:00 - 21.01.2022 09:00;2576;733;7715;6234
21.01.2022 09:00 - 21.01.2022 10:00;2392;737;7734;6181
21.01.2022 10:00 - 21.01.2022 11:00;2499;735;7860;6136
21.01.2022 11:00 - 21.01.2022 12:00;2439;731;7703;6033
21.01.2022 12:00 - 21.01.2022 13:00;2030;739;7291;5743
21.01.2022 13:00 - 21.01.2022 14:00;2020;743;7397;5649
21.01.2022 14:00 - 21.01.2022 15:00;1968;737;7335;5698
21.01.2022 15:00 - 21.01.2022 16:00;2249;749;7416;5723
21.01.2022 16:00 - 21.01.2022 17:00;2479;758;7875;5851
21.01.2022 17:00 - 21.01.2022 18:00;2285;774;7900;5866
21.01.2022 18:00 - 21.01.2022 19:00;2090;785;7691;5764
21.01.2022 19:00 - 21.01.2022 20:00;1600;781;6910;5549
21.01.2022 20:00 - 21.01.2022 21:00;1112;763;6038;5346
21.01.2022 21:00 - 21.01.2022 22:00;811;769;5643;5141
21.01.2022 22:00 - 21.01.2022 23:00;620;774;5260;4945
21.01.2022 23:00 - 22.01.2022 00:00;601;774;4238;4817
22.01.2022 00:00 - 22.01.2022 01:00;443;747;3890;4649
22.01.2022 01:00 - 22.01.2022 02:00;417;736;3524;4515
22.01.2022 02:00 - 22.01.2022 03:00;378;739;3434;4438
22.01.2022 03:00 - 22.01.2022 04:00;13;748;3366;4406
22.01.2022 04:00 - 22.01.2022 05:00;-69;741;3517;4460
22.01.2022 05:00 - 22.01.2022 06:00;-35;743;3882;4521
22.01.2022 06:00 - 22.01.2022 07:00;147;752;5105;4652
22.01.2022 07:00 - 22.01.2022 08:00;1197;769;7310;4800
22.01.2022 08:00 - 22.01.2022 09:00;1508;762;8017;5002
22.01.2022 09:00 - 22.01.2022 10:00;1570;765;8137;5212
22.01.2022 10:00 - 22.01.2022 11:00;1486;764;8225;5373
22.01.2022 11:00 - 22.01.2022 12:00;1364;774;8160;5385
22.01.2022 12:00 - 22.01.2022 13:00;1430;780;8119;5336
22.01.2022 13:00 - 22.01.2022 14:00;1453;783;7974;5281
22.01.2022 14:00 - 22.01.2022 15:00;1478;778;7922;5203
22.01.2022 15:00 - 22.01.2022 16:00;1398;782;7906;5185
22.01.2022 16:00 - 22.01.2022 17:00;1351;780;8023;5314
22.01.2022 17:00 - 22.01.2022 18:00;1180;772;8129;5510
22.01.2022 18:00 - 22.01.2022 19:00;1024;777;8029;5468
22.01.2022 19:00 - 22.01.2022 20:00;1105;781;8036;5273
22.01.2022 20:00 - 22.01.2022 21:00;970;780;7757;5094
22.01.2022 21:00 - 22.01.2022 22:00;884;779;7374;4907
22.01.2022 22:00 - 22.01.2022 23:00;432;777;6958;4705
22.01.2022 23:00 - 23.01.2022 00:00;263;778;6293;4579
23.01.2022 00:00 - 23.01.2022 01:00;-222;748;5334;4464
23.01.2022 01:00 - 23.01.2022 02:00;-316;747;5078;4367
23.01.2022 02:00 - 23.01.2022 03:00;-445;747;4962;4300
23.01.2022 03:00 - 23.01.2022 04:00;-571;750;4843;4201
23.01.2022 04:00 - 23.01.2022 05:00;-545;748;4881;4236
23.01.2022 05:00 - 23.01.2022 06:00;-433;750;5234;4290
23.01.2022 06:00 - 23.01.2022 07:00;-439;758;5385;4380
23.01.2022 07:00 - 23.01.2022 08:00;-186;776;6123;4530
23.01.2022 08:00 - 23.01.2022 09:00;-84;780;6679;4649
23.01.2022 09:00 - 23.01.2022 10:00;218;786;7305;4846
23.01.2022 10:00 - 23.01.2022 11:00;332;782;7575;5016
23.01.2022 11:00 - 23.01.2022 12:00;509;783;7666;5095
23.01.2022 12:00 - 23.01.2022 13:00;574;783;7590;5102
23.01.2022 13:00 - 23.01.2022 14:00;568;783;7503;5095
23.01.2022 14:00 - 23.01.2022 15:00;337;782;7136;5097
23.01.2022 15:00 - 23.01.2022 16:00;380;781;6912;5142
23.01.2022 16:00 - 23.01.2022 17:00;472;788;7257;5299
23.01.2022 17:00 - 23.01.2022 18:00;399;787;7709;5390
23.01.2022 18:00 - 23.01.2022 19:00;346;789;7682;5383
23.01.2022 19:00 - 23.01.2022 20:00;55;798;7226;5329
23.01.2022 20:00 - 23.01.2022 21:00;-156;792;6591;5240
23.01.2022 21:00 - 23.01.2022 22:00;-46;786;6266;5121
23.01.2022 22:00 - 23.01.2022 23:00;-93;780;5859;4938
23.01.2022 23:00 - 24.01.2022 00:00;-71;778;5325;4722
24.01.2022 00:00 - 24.01.2022 01:00;-201;769;4735;4553
24.01.2022 01:00 - 24.01.2022 02:00;-145;774;4476;4402
24.01.2022 02:00 - 24.01.2022 03:00;-357;773;4276;4358
24.01.2022 03:00 - 24.01.2022 04:00;-427;772;4123;4344
24.01.2022 04:00 - 24.01.2022 05:00;-558;772;4157;4414
24.01.2022 05:00 - 24.01.2022 06:00;-183;776;4700;4545
24.01.2022 06:00 - 24.01.2022 07:00;566;788;5602;5034
24.01.2022 07:00 - 24.01.2022 08:00;866;801;6459;5653
24.01.2022 08:00 - 24.01.2022 09:00;984;807;6824;5825
24.01.2022 09:00 - 24.01.2022 10:00;1105;811;6972;5808
24.01.2022 10:00 - 24.01.2022 11:00;989;808;7007;5737
24.01.2022 11:00 - 24.01.2022 12:00;965;808;6840;5650
24.01.2022 12:00 - 24.01.2022 13:00;780;816;6613;5629
24.01.2022 13:00 - 24.01.2022 14:00;767;817;6521;5530
24.01.2022 14:00 - 24.01.2022 15:00;823;822;6494;5456
24.01.2022 15:00 - 24.01.2022 16:00;958;832;6580;5506
24.01.2022 16:00 - 24.01.2022 17:00;1235;842;6845;5635
24.01.2022 17:00 - 24.01.2022 18:00;1403;844;7068;5648
24.01.2022 18:00 - 24.01.2022 19:00;1368;844;6606;5573
24.01.2022 19:00 - 24.01.2022 20:00;1304;844;6124;5505
24.01.2022 20:00 - 24.01.2022 21:00;1105;823;6038;5436
24.01.2022 21:00 - 24.01.2022 22:00;682;819;6580;5266
24.01.2022 22:00 - 24.01.2022 23:00;457;817;6140;5045
24.01.2022 23:00 - 25.01.2022 00:00;311;825;5482;4775
25.01.2022 00:00 - 25.01.2022 01:00;-156;835;4657;4602
25.01.2022 01:00 - 25.01.2022 02:00;-122;833;4565;4465
25.01.2022 02:00 - 25.01.2022 03:00;-77;833;4616;4435
25.01.2022 03:00 - 25.01.2022 04:00;-149;839;4686;4426
25.01.2022 04:00 - 25.01.2022 05:00;-316;850;4785;4504
25.01.2022 05:00 - 25.01.2022 06:00;-16;850;5784;4691
25.01.2022 06:00 - 25.01.2022 07:00;595;850;6665;5161
25.01.2022 07:00 - 25.01.2022 08:00;1324;847;8181;5721
25.01.2022 08:00 - 25.01.2022 09:00;1060;855;8484;5853
25.01.2022 09:00 - 25.01.2022 10:00;871;843;8620;5718
25.01.2022 10:00 - 25.01.2022 11:00;860;841;8618;5700
25.01.2022 11:00 - 25.01.2022 12:00;850;836;8605;5648
25.01.2022 12:00 - 25.01.2022 13:00;829;840;8549;5492
25.01.2022 13:00 - 25.01.2022 14:00;900;840;8606;5307
25.01.2022 14:00 - 25.01.2022 15:00;827;847;8504;5235
25.01.2022 15:00 - 25.01.2022 16:00;1082;850;8504;5347
25.01.2022 16:00 - 25.01.2022 17:00;1052;845;8639;5502
25.01.2022 17:00 - 25.01.2022 18:00;1143;846;8664;5702
25.01.2022 18:00 - 25.01.2022 19:00;1153;851;8615;5724
25.01.2022 19:00 - 25.01.2022 20:00;1098;858;8411;5580
25.01.2022 20:00 - 25.01.2022 21:00;1415;840;7836;5401
25.01.2022 21:00 - 25.01.2022 22:00;1414;832;7742;5254
25.01.2022 22:00 - 25.01.2022 23:00;1227;834;7263;5061
25.01.2022 23:00 - 26.01.2022 00:00;590;842;5648;4739
26.01.2022 00:00 - 26.01.2022 01:00;-182;841;4549;4534
26.01.2022 01:00 - 26.01.2022 02:00;-285;845;3973;4412
26.01.2022 02:00 - 26.01.2022 03:00;-354;830;3545;4357
26.01.2022 03:00 - 26.01.2022 04:00;-237;829;3412;4387
26.01.2022 04:00 - 26.01.2022 05:00;-220;825;3296;4456
26.01.2022 05:00 - 26.01.2022 06:00;7;825;3464;4586
26.01.2022 06:00 - 26.01.2022 07:00;681;849;4744;5101
26.01.2022 07:00 - 26.01.2022 08:00;819;842;5465;5730
26.01.2022 08:00 - 26.01.2022 09:00;926;847;5697;5875
26.01.2022 09:00 - 26.01.2022 10:00;977;851;5400;5863
26.01.2022 10:00 - 26.01.2022 11:00;1127;847;5321;5688
26.01.2022 11:00 - 26.01.2022 12:00;1076;838;5120;5438
26.01.2022 12:00 - 26.01.2022 13:00;949;836;4765;5322
26.01.2022 13:00 - 26.01.2022 14:00;908;843;4573;5164
26.01.2022 14:00 - 26.01.2022 15:00;908;847;4553;5147
26.01.2022 15:00 - 26.01.2022 16:00;850;854;4624;5183
26.01.2022 16:00 - 26.01.2022 17:00;1020;847;5117;5425
26.01.2022 17:00 - 26.01.2022 18:00;1037;850;5539;5455
26.01.2022 18:00 - 26.01.2022 19:00;974;847;5361;5340
26.01.2022 19:00 - 26.01.2022 20:00;1105;852;5068;5255
26.01.2022 20:00 - 26.01.2022 21:00;807;841;4693;5138
26.01.2022 21:00 - 26.01.2022 22:00;661;833;4766;5029
26.01.2022 22:00 - 26.01.2022 23:00;253;836;4282;4772
26.01.2022 23:00 - 27.01.2022 00:00;223;808;3857;4446
27.01.2022 00:00 - 27.01.2022 01:00;106;792;3240;4226
27.01.2022 01:00 - 27.01.2022 02:00;1;785;3027;4111
27.01.2022 02:00 - 27.01.2022 03:00;-28;791;2672;4029
27.01.2022 03:00 - 27.01.2022 04:00;8;784;2245;4014
27.01.2022 04:00 - 27.01.2022 05:00;-215;790;2153;4079
27.01.2022 05:00 - 27.01.2022 06:00;-278;788;2242;4264
27.01.2022 06:00 - 27.01.2022 07:00;-81;806;3043;4644
27.01.2022 07:00 - 27.01.2022 08:00;509;809;4378;5154
27.01.2022 08:00 - 27.01.2022 09:00;826;811;4729;5315
27.01.2022 09:00 - 27.01.2022 10:00;760;804;4524;5330
27.01.2022 10:00 - 27.01.2022 11:00;788;785;4569;5239
27.01.2022 11:00 - 27.01.2022 12:00;1138;784;4316;5124
27.01.2022 12:00 - 27.01.2022 13:00;852;779;3947;4975
27.01.2022 13:00 - 27.01.2022 14:00;870;779;4007;4907
27.01.2022 14:00 - 27.01.2022 15:00;609;785;4255;4978
27.01.2022 15:00 - 27.01.2022 16:00;682;796;4293;5088
27.01.2022 16:00 - 27.01.2022 17:00;808;793;4455;5219
27.01.2022 17:00 - 27.01.2022 18:00;1108;794;4766;5239
27.01.2022 18:00 - 27.01.2022 19:00;819;797;4460;5166
27.01.2022 19:00 - 27.01.2022 20:00;823;788;4401;5103
27.01.2022 20:00 - 27.01.2022 21:00;932;783;4291;5012
27.01.2022 21:00 - 27.01.2022 22:00;682;785;4329;4879
27.01.2022 22:00 - 27.01.2022 23:00;308;786;3612;4690
27.01.2022 23:00 - 28.01.2022 00:00;122;781;3134;4475
28.01.2022 00:00 - 28.01.2022 01:00;-106;763;2571;4291
28.01.2022 01:00 - 28.01.2022 02:00;-357;755;2328;4184
28.01.2022 02:00 - 28.01.2022 03:00;-254;748;2400;4111
28.01.2022 03:00 - 28.01.2022 04:00;-260;747;2399;4109
28.01.2022 04:00 - 28.01.2022 05:00;-57;748;2586;4179
28.01.2022 05:00 - 28.01.2022 06:00;142;756;3243;4373
28.01.2022 06:00 - 28.01.2022 07:00;607;781;4416;4924
28.01.2022 07:00 - 28.01.2022 08:00;939;788;5696;5533
28.01.2022 08:00 - 28.01.2022 09:00;1109;787;6666;5761
28.01.2022 09:00 - 28.01.2022 10:00;1079;794;6975;5774
28.01.2022 10:00 - 28.01.2022 11:00;1064;788;7017;5658
28.01.2022 11:00 - 28.01.2022 12:00;1152;792;7240;5462
28.01.2022 12:00 - 28.01.2022 13:00;816;793;7105;5404
28.01.2022 13:00 - 28.01.2022 14:00;651;799;7064;5365
28.01.2022 14:00 - 28.01.2022 15:00;619;799;7156;5394
28.01.2022 15:00 - 28.01.2022 16:00;706;812;7468;5464
28.01.2022 16:00 - 28.01.2022 17:00;780;809;7668;5559
28.01.2022 17:00 - 28.01.2022 18:00;1248;809;7822;5616
28.01.2022 18:00 - 28.01.2022 19:00;1313;806;7670;5460
28.01.2022 19:00 - 28.01.2022 20:00;1404;799;7326;5299
28.01.2022 20:00 - 28.01.2022 21:00;788;804;5902;5103
28.01.2022 21:00 - 28.01.2022 22:00;347;803;4985;4931
28.01.2022 22:00 - 28.01.2022 23:00;-17;800;4199;4814
28.01.2022 23:00 - 29.01.2022 00:00;284;784;3911;4671
29.01.2022 00:00 - 29.01.2022 01:00;239;796;3481;4433
29.01.2022 01:00 - 29.01.2022 02:00;476;792;2954;4257
29.01.2022 02:00 - 29.01.2022 03:00;494;783;2145;4149
29.01.2022 03:00 - 29.01.2022 04:00;619;782;1752;4116
29.01.2022 04:00 - 29.01.2022 05:00;826;773;1724;4055
29.01.2022 05:00 - 29.01.2022 06:00;1041;785;1855;4051
29.01.2022 06:00 - 29.01.2022 07:00;1218;795;2042;4151
29.01.2022 07:00 - 29.01.2022 08:00;1079;806;2191;4300
29.01.2022 08:00 - 29.01.2022 09:00;1205;819;2668;4460
29.01.2022 09:00 - 29.01.2022 10:00;1466;811;3090;4631
29.01.2022 10:00 - 29.01.2022 11:00;1467;821;3083;4777
29.01.2022 11:00 - 29.01.2022 12:00;1321;838;3235;4772
29.01.2022 12:00 - 29.01.2022 13:00;1347;852;3139;4699
29.01.2022 13:00 - 29.01.2022 14:00;1169;857;2950;4628
29.01.2022 14:00 - 29.01.2022 15:00;1013;863;2936;4529
29.01.2022 15:00 - 29.01.2022 16:00;544;854;2831;4522
29.01.2022 16:00 - 29.01.2022 17:00;-45;854;3137;4709
29.01.2022 17:00 - 29.01.2022 18:00;261;855;3398;4797
29.01.2022 18:00 - 29.01.2022 19:00;496;868;3925;4780
29.01.2022 19:00 - 29.01.2022 20:00;429;877;4046;4728
29.01.2022 20:00 - 29.01.2022 21:00;214;876;3689;4619
29.01.2022 21:00 - 29.01.2022 22:00;11;870;3540;4537
29.01.2022 22:00 - 29.01.2022 23:00;-24;844;3463;4420
29.01.2022 23:00 - 30.01.2022 00:00;-164;836;3135;4353
30.01.2022 00:00 - 30.01.2022 01:00;227;825;3091;4208
30.01.2022 01:00 - 30.01.2022 02:00;-50;819;2653;4085
30.01.2022 02:00 - 30.01.2022 03:00;-164;807;2506;3983
30.01.2022 03:00 - 30.01.2022 04:00;-281;799;2401;3909
30.01.2022 04:00 - 30.01.2022 05:00;-196;788;2458;3908
30.01.2022 05:00 - 30.01.2022 06:00;-111;779;2540;3890
30.01.2022 06:00 - 30.01.2022 07:00;104;770;2998;3987
30.01.2022 07:00 - 30.01.2022 08:00;288;782;3057;4122
30.01.2022 08:00 - 30.01.2022 09:00;465;785;3265;4321
30.01.2022 09:00 - 30.01.2022 10:00;526;788;3264;4497
30.01.2022 10:00 - 30.01.2022 11:00;705;797;3509;4581
30.01.2022 11:00 - 30.01.2022 12:00;714;806;3391;4577
30.01.2022 12:00 - 30.01.2022 13:00;855;812;3370;4560
30.01.2022 13:00 - 30.01.2022 14:00;739;813;3289;4527
30.01.2022 14:00 - 30.01.2022 15:00;545;807;3332;4525
30.01.2022 15:00 - 30.01.2022 16:00;490;805;3522;4630
30.01.2022 16:00 - 30.01.2022 17:00;759;802;4297;4855
30.01.2022 17:00 - 30.01.2022 18:00;1227;795;4890;5111
30.01.2022 18:00 - 30.01.2022 19:00;1350;810;5239;5142
30.01.2022 19:00 - 30.01.2022 20:00;953;805;5723;5144
30.01.2022 20:00 - 30.01.2022 21:00;660;806;6123;5117
30.01.2022 21:00 - 30.01.2022 22:00;391;808;6361;5105
30.01.2022 22:00 - 30.01.2022 23:00;60;807;6223;4953
30.01.2022 23:00 - 31.01.2022 00:00;-34;805;5972;4801
31.01.2022 00:00 - 31.01.2022 01:00;218;788;4996;4678
31.01.2022 01:00 - 31.01.2022 02:00;517;779;4127;4580
31.01.2022 02:00 - 31.01.2022 03:00;709;772;3342;4552
31.01.2022 03:00 - 31.01.2022 04:00;1039;767;2733;4600
31.01.2022 04:00 - 31.01.2022 05:00;936;764;2927;4713
31.01.2022 05:00 - 31.01.2022 06:00;621;774;4502;4951
31.01.2022 06:00 - 31.01.2022 07:00;1367;769;7119;5530
31.01.2022 07:00 - 31.01.2022 08:00;1662;770;8133;5967
31.01.2022 08:00 - 31.01.2022 09:00;1767;782;8263;6062
31.01.2022 09:00 - 31.01.2022 10:00;1976;809;8428;6039
31.01.2022 10:00 - 31.01.2022 11:00;2304;808;8420;5974
31.01.2022 11:00 - 31.01.2022 12:00;2355;812;8534;5914
31.01.2022 12:00 - 31.01.2022 13:00;2253;812;8428;5858
31.01.2022 13:00 - 31.01.2022 14:00;2006;816;8325;5787
31.01.2022 14:00 - 31.01.2022 15:00;1767;809;8464;5850
31.01.2022 15:00 - 31.01.2022 16:00;1735;816;8177;5917
31.01.2022 16:00 - 31.01.2022 17:00;2057;819;8289;6044
31.01.2022 17:00 - 31.01.2022 18:00;2028;815;8331;6087
31.01.2022 18:00 - 31.01.2022 19:00;1981;812;8341;6036
31.01.2022 19:00 - 31.01.2022 20:00;2024;812;8370;5966
31.01.2022 20:00 - 31.01.2022 21:00;1819;815;8290;5918
31.01.2022 21:00 - 31.01.2022 22:00;1749;818;8192;5805
31.01.2022 22:00 - 31.01.2022 23:00;1824;815;7935;5528
31.01.2022 23:00 - 01.02.2022 00:00;1563;811;6899;5281
01.02.2022 00:00 - 01.02.2022 01:00;933;819;6127;5101
01.02.2022 01:00 - 01.02.2022 02:00;427;808;5544;5025
01.02.2022 02:00 - 01.02.2022 03:00;492;802;5657;4993
01.02.2022 03:00 - 01.02.2022 04:00;492;806;5634;4972
01.02.2022 04:00 - 01.02.2022 05:00;448;805;5558;4977
01.02.2022 05:00 - 01.02.2022 06:00;995;813;6215;5162
01.02.2022 06:00 - 01.02.2022 07:00;1962;802;7814;5663
01.02.2022 07:00 - 01.02.2022 08:00;2011;789;8381;6172
01.02.2022 08:00 - 01.02.2022 09:00;1919;786;8364;6365
01.02.2022 09:00 - 01.02.2022 10:00;2136;795;8336;6339
01.02.2022 10:00 - 01.02.2022 11:00;2362;792;8008;6353
01.02.2022 11:00 - 01.02.2022 12:00;2781;797;7989;6366
01.02.2022 12:00 - 01.02.2022 13:00;2994;794;7413;6453
01.02.2022 13:00 - 01.02.2022 14:00;3363;795;7055;6426
01.02.2022 14:00 - 01.02.2022 15:00;2767;798;5774;6396
01.02.2022 15:00 - 01.02.2022 16:00;2778;804;5313;6418
01.02.2022 16:00 - 01.02.2022 17:00;2874;810;5178;6465
01.02.2022 17:00 - 01.02.2022 18:00;3233;823;5408;6470
01.02.2022 18:00 - 01.02.2022 19:00;2858;819;5251;6330
01.02.2022 19:00 - 01.02.2022 20:00;2409;817;4450;6171
01.02.2022 20:00 - 01.02.2022 21:00;2111;812;4040;6088
01.02.2022 21:00 - 01.02.2022 22:00;1940;791;4046;5918
01.02.2022 22:00 - 01.02.2022 23:00;1961;798;3716;5671
01.02.2022 23:00 - 02.02.2022 00:00;1996;784;3053;5452
02.02.2022 00:00 - 02.02.2022 01:00;1583;769;2679;5208
02.02.2022 01:00 - 02.02.2022 02:00;1480;762;2358;5061
02.02.2022 02:00 - 02.02.2022 03:00;1463;767;1914;4990
02.02.2022 03:00 - 02.02.2022 04:00;1424;756;1958;4970
02.02.2022 04:00 - 02.02.2022 05:00;1726;764;2485;4990
02.02.2022 05:00 - 02.02.2022 06:00;1876;764;3135;5171
02.02.2022 06:00 - 02.02.2022 07:00;2442;764;4287;5740
02.02.2022 07:00 - 02.02.2022 08:00;3285;766;6176;6297
02.02.2022 08:00 - 02.02.2022 09:00;3239;778;7169;6454
02.02.2022 09:00 - 02.02.2022 10:00;3222;776;7050;6441
02.02.2022 10:00 - 02.02.2022 11:00;3214;773;6747;6362
02.02.2022 11:00 - 02.02.2022 12:00;3349;772;6649;6238
02.02.2022 12:00 - 02.02.2022 13:00;3085;772;6109;6094
02.02.2022 13:00 - 02.02.2022 14:00;3124;774;6506;5944
02.02.2022 14:00 - 02.02.2022 15:00;2481;778;6805;5881
02.02.2022 15:00 - 02.02.2022 16:00;2477;789;7545;5930
02.02.2022 16:00 - 02.02.2022 17:00;1944;783;7990;6175
02.02.2022 17:00 - 02.02.2022 18:00;1730;788;8398;6294
02.02.2022 18:00 - 02.02.2022 19:00;1679;790;8366;6220
02.02.2022 19:00 - 02.02.2022 20:00;1837;788;8372;6180
02.02.2022 20:00 - 02.02.2022 21:00;1394;783;8170;6085
02.02.2022 21:00 - 02.02.2022 22:00;1012;782;8028;5963
02.02.2022 22:00 - 02.02.2022 23:00;785;780;7875;5767
02.02.2022 23:00 - 03.02.2022 00:00;236;786;7128;5541
03.02.2022 00:00 - 03.02.2022 01:00;505;786;6496;5373
03.02.2022 01:00 - 03.02.2022 02:00;926;776;6695;5270
03.02.2022 02:00 - 03.02.2022 03:00;804;772;6604;5198
03.02.2022 03:00 - 03.02.2022 04:00;706;773;6581;5221
03.02.2022 04:00 - 03.02.2022 05:00;774;771;6896;5259
